10, 1, 9

E, 1, 4, 2

E, 1, 2, 13

E, 1, 3, 3

E, 1, 6, 10

E, 1, 7, 9

E, 1, 9, 9

E, 1, 10, 10

E, 2, 1, 1

E, 2, 3, 8

E, 2, 4, 9

E, 2, 5, 10

E, 2, 6, 8

E, 2, 8, 3

E, 2, 9, 1

E, 2, 10, 4

E, 3, 1, 9

E, 3, 2, 9

E, 3, 4, 4

E, 3, 5, 2

E, 3, 7, 2

E, 3, 6, 9

E, 3, 9, 6

E, 4, 1, 9

E, 4, 2, 4

E, 4, 3, 9

E, 4, 5, 7

E, 4, 6, 5

E, 4, 7, 7

E, 4, 8, 7

E, 4, 9, 4

E, 4, 10, 10

E, 5, 1, 5

E, 5, 2, 5

E, 5, 3, 14

E, 5, 4, 3

E, 5, 7, 6

E, 5, 8, 2

E, 5, 10, 9

E, 6, 1, 9

E, 6, 2, 4

E, 6, 3, 2

E, 6, 4, 12

E, 6, 5, 10

E, 6, 8, 1

E, 6, 10, 2

E, 7, 2, 4

E, 7, 3, 5

E, 7, 4, 7

E, 7, 5, 21

E, 7, 6, 5

E, 7, 9, 15

E, 7, 10, 8

E, 8, 1, 7

E, 8, 2, 9

E, 8, 3, 9

E, 8, 4, 1

E, 8, 5, 8

E, 8, 6, 10

E, 8, 7, 6

E, 8, 9, 3

E, 8, 10, 1

E, 9, 1, 8

E, 9, 2, 9

E, 9, 3, 2

E, 9, 4, 9

E, 9, 5, 8

E, 9, 6, 0

E, 9, 7, 7

E, 9, 8, 3

E, 9, 10, 8

E, 10, 1, 7

E, 10, 2, 7

E, 10, 3, 3

E, 10, 4, 4

E, 10, 5, 7

E, 10, 6, 6

E, 10, 8, 4

